Format Version,1.24,Take Name,take_006,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2025-01-21 10.09.47.521 ,Capture Start Frame,40254,Total Frames in Take,15053,Total Exported Frames,15053,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,base,base,base,base,base,base,chaser,chaser,chaser,chaser,chaser,chaser
,ID,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,8015D3CD42011EF3A0BEA211B00BCB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6,DBA69F25D73D11EF3A0BEA211B00BEB6
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
97,4.850000,0.110745,-0.068447,0.424554,4489.468750,731.840332,1989.952881,-0.060927,0.479663,0.173511,3796.311523,1262.832397,2211.423096
98,4.900000,0.111795,-0.065258,0.423251,4489.466797,731.840942,1989.954468,-0.058677,0.480824,0.173932,3796.318359,1262.830078,2211.420898
99,4.950000,0.110882,-0.066402,0.421173,4489.469238,731.839966,1989.954468,-0.062939,0.474502,0.171477,3796.300049,1262.846191,2211.400635
100,5.000000,0.112605,-0.060486,0.427310,4489.454102,731.846191,1989.944580,-0.062069,0.481004,0.173753,3796.310547,1262.831177,2211.427979
101,5.050000,0.109989,-0.060359,0.426843,4489.451660,731.845703,1989.950195,-0.066026,0.480996,0.179008,3796.322266,1262.822754,2211.441162
102,5.100000,0.107616,-0.063895,0.418598,4489.469238,731.835571,1989.957275,-0.069867,0.479640,0.179135,3796.320312,1262.833740,2211.448975
103,5.150000,0.106313,-0.065096,0.421915,4489.469238,731.834106,1989.952759,-0.064411,0.474734,0.175700,3796.306396,1262.834717,2211.413818
104,5.200000,0.106783,-0.068262,0.419544,4489.475586,731.836548,1989.958008,-0.060225,0.475949,0.173465,3796.300781,1262.831909,2211.408936
105,5.250000,0.113599,-0.062671,0.423499,4489.464355,731.848816,1989.947754,-0.059500,0.473057,0.169804,3796.296387,1262.842896,2211.402832
106,5.300000,0.109568,-0.066584,0.420647,4489.473145,731.833130,1989.957031,-0.067727,0.483186,0.178944,3796.327637,1262.824463,2211.448730
107,5.350000,0.112096,-0.063610,0.424616,4489.469727,731.836060,1989.951538,-0.067878,0.481503,0.174594,3796.317383,1262.840942,2211.442871
108,5.400000,0.111308,-0.064800,0.422359,4489.474121,731.835510,1989.955933,-0.064255,0.478590,0.170596,3796.302002,1262.846802,2211.427002
109,5.450000,0.108649,-0.063078,0.422049,4489.465332,731.830078,1989.951538,-0.061478,0.482246,0.170850,3796.305908,1262.835571,2211.430420
110,5.500000,0.110386,-0.065534,0.420349,4489.471191,731.835754,1989.954102,-0.063128,0.477717,0.173384,3796.301758,1262.831177,2211.417236
111,5.550000,0.108741,-0.062814,0.417607,4489.471191,731.825439,1989.954102,-0.063553,0.479866,0.175728,3796.311035,1262.821899,2211.422119
112,5.600000,0.110628,-0.065429,0.418353,4489.468750,731.830444,1989.952515,-0.061522,0.478690,0.171075,3796.299561,1262.840088,2211.419922
113,5.650000,0.111917,-0.066410,0.425982,4489.466797,731.839233,1989.955200,-0.056458,0.479464,0.172981,3796.305908,1262.818481,2211.414062
114,5.700000,0.114089,-0.061490,0.428670,4489.462891,731.837952,1989.953247,-0.064255,0.486526,0.174162,3796.327881,1262.834106,2211.450928
115,5.750000,0.112980,-0.066832,0.423856,4489.474121,731.840637,1989.958740,-0.068469,0.474830,0.171864,3796.300049,1262.849854,2211.418457
116,5.800000,0.112242,-0.061755,0.424310,4489.463379,731.840332,1989.942993,-0.065031,0.481563,0.170794,3796.308838,1262.845093,2211.442139
117,5.850000,0.107792,-0.065706,0.420740,4489.470703,731.826965,1989.951172,-0.060390,0.478815,0.169627,3796.300781,1262.840332,2211.424561
118,5.900000,0.104747,-0.065640,0.420540,4489.468262,731.820190,1989.949341,-0.066054,0.484146,0.176773,3796.320801,1262.818359,2211.451172
119,5.950000,0.109480,-0.063285,0.424726,4489.459473,731.835876,1989.944092,-0.064641,0.484099,0.173567,3796.318604,1262.833984,2211.452393
120,6.000000,0.107891,-0.064707,0.418006,4489.468262,731.831482,1989.953491,-0.063715,0.476347,0.173634,3796.301025,1262.833618,2211.415527
121,6.050000,0.107976,-0.062028,0.419886,4489.467285,731.829529,1989.951050,-0.060618,0.480389,0.171998,3796.310791,1262.834717,2211.424072
122,6.100000,0.108383,-0.063787,0.420702,4489.469238,731.830383,1989.951416,-0.056722,0.483129,0.169402,3796.310059,1262.833862,2211.426758
123,6.150000,0.105135,-0.064208,0.423780,4489.468750,731.828064,1989.956787,-0.058263,0.485521,0.172338,3796.320312,1262.832642,2211.440918
124,6.200000,0.109460,-0.064684,0.423092,4489.471191,731.838257,1989.954346,-0.063205,0.483838,0.173197,3796.315674,1262.842285,2211.438477
125,6.250000,0.110970,-0.063138,0.422325,4489.467773,731.838806,1989.954346,-0.063802,0.486758,0.174126,3796.321533,1262.834106,2211.452637
126,6.300000,0.110063,-0.065820,0.424343,4489.464844,731.836243,1989.952393,-0.065039,0.481419,0.171532,3796.304688,1262.844727,2211.437744
127,6.350000,0.102956,-0.061147,0.418048,4489.461426,731.823303,1989.946655,-0.067149,0.473472,0.169367,3796.293213,1262.854248,2211.412354
128,6.400000,0.108030,-0.061978,0.421527,4489.459473,731.826538,1989.951660,-0.067616,0.475985,0.173250,3796.301514,1262.842407,2211.420654
129,6.450000,0.109768,-0.061216,0.426113,4489.458496,731.832031,1989.950317,-0.058527,0.483185,0.171105,3796.313477,1262.831665,2211.432373
130,6.500000,0.109963,-0.061549,0.423196,4489.460449,731.830200,1989.948853,-0.070723,0.487754,0.170767,3796.316406,1262.852905,2211.482178
131,6.550000,0.106269,-0.064969,0.420065,4489.467773,731.823975,1989.956787,-0.063932,0.480462,0.172812,3796.313232,1262.838501,2211.440430
